Condition,Size,Experiment,Run,Precision,Recall,F1,MCC,Accuracy,Path
tsp_brain_low,2000,lr3e-4_bs35_ep10,DNA2_tsp_brain_low_2000_lr3e-4_bs35_ep10,25.0,50.0,33.33,0.0,50.0,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_low/2000/lr3e-4_bs35_ep10/results/DNA2_tsp_brain_low_2000_lr3e-4_bs35_ep10/eval_results.json
tsp_brain_low,2000,lr5e-6_bs20_ep10,DNA2_tsp_brain_low_2000_lr5e-6_bs20_ep10,73.63,73.63,73.63,47.27,73.63,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_low/2000/lr5e-6_bs20_ep10/results/DNA2_tsp_brain_low_2000_lr5e-6_bs20_ep10/eval_results.json
tsp_brain_low,2000,lr3e-6_bs20_ep10,DNA2_tsp_brain_low_2000_lr3e-6_bs20_ep10,71.64,71.38,71.3,43.02,71.38,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_low/2000/lr3e-6_bs20_ep10/results/DNA2_tsp_brain_low_2000_lr3e-6_bs20_ep10/eval_results.json
tsp_brain_low,2000,lr1e-4_bs35_ep10,DNA2_tsp_brain_low_2000_lr1e-4_bs35_ep10,71.02,68.97,68.2,39.93,68.97,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_low/2000/lr1e-4_bs35_ep10/results/DNA2_tsp_brain_low_2000_lr1e-4_bs35_ep10/eval_results.json
tsp_brain_low,2000,lr7e-6_bs20_ep10,DNA2_tsp_brain_low_2000_lr7e-6_bs20_ep10,72.15,71.86,71.78,44.01,71.86,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_low/2000/lr7e-6_bs20_ep10/results/DNA2_tsp_brain_low_2000_lr7e-6_bs20_ep10/eval_results.json
tsp_brain_low,2000,lr3e-5_bs35_ep10,DNA2_tsp_brain_low_2000_lr3e-5_bs35_ep10,71.9,71.38,71.21,43.28,71.38,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_low/2000/lr3e-5_bs35_ep10/results/DNA2_tsp_brain_low_2000_lr3e-5_bs35_ep10/eval_results.json
tsp_brain_low,2000,lr1e-5_bs35_ep10,DNA2_tsp_brain_low_2000_lr1e-5_bs35_ep10,71.82,71.54,71.45,43.36,71.54,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_low/2000/lr1e-5_bs35_ep10/results/DNA2_tsp_brain_low_2000_lr1e-5_bs35_ep10/eval_results.json
tsp_brain_low,3000,lr5e-6_bs20_ep10,DNA2_tsp_brain_low_3000_lr5e-6_bs20_ep10,73.17,73.15,73.15,46.32,73.15,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_low/3000/lr5e-6_bs20_ep10/results/DNA2_tsp_brain_low_3000_lr5e-6_bs20_ep10/eval_results.json
tsp_brain_low,3000,lr3e-6_bs20_ep10,DNA2_tsp_brain_low_3000_lr3e-6_bs20_ep10,72.41,72.35,72.33,44.75,72.35,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_low/3000/lr3e-6_bs20_ep10/results/DNA2_tsp_brain_low_3000_lr3e-6_bs20_ep10/eval_results.json
tsp_brain_low,3000,lr7e-6_bs20_ep10,DNA2_tsp_brain_low_3000_lr7e-6_bs20_ep10,73.66,73.63,73.63,47.29,73.63,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_low/3000/lr7e-6_bs20_ep10/results/DNA2_tsp_brain_low_3000_lr7e-6_bs20_ep10/eval_results.json
