Condition,Size,Experiment,Run,Precision,Recall,F1,MCC,Accuracy,Path
tspAll_nonPromHu,2k,lr3e-5_ep10,results,90.53,90.5,90.49,81.03,90.5,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/july_2025_mmseq/TSp_vs_nonProm/2k/tspAll_nonPromHu/lr3e-5_ep10/results/TSp_vs_nonProm_2k_tspAll_nonPromHu_lr3e-5/eval_results.json
tspAll_nonPromHu,3k,lr3e-5_ep10,results,89.67,89.47,89.46,79.14,89.47,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/july_2025_mmseq/TSp_vs_nonProm/3k/tspAll_nonPromHu/lr3e-5_ep10/results/TSp_vs_nonProm_3k_tspAll_nonPromHu_lr3e-5/eval_results.json
tspAll_nonPromHu,4k,lr3e-5_ep10,results,89.41,89.19,89.17,78.6,89.19,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/july_2025_mmseq/TSp_vs_nonProm/4k/tspAll_nonPromHu/lr3e-5_ep10/results/TSp_vs_nonProm_4k_tspAll_nonPromHu_lr3e-5/eval_results.json
tspbrain_nonPromHu,2k,lr3e-6_ep10,results,93.84,93.81,93.81,87.65,93.81,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/july_2025_mmseq/TSp_vs_nonProm/2k/tspbrain_nonPromHu/lr3e-6_ep10/results/TSp_vs_nonProm_2k_tspbrain_nonPromHu_lr3e-6/eval_results.json
tspbrain_nonPromHu,3k,lr3e-5_ep10,results,95.5,95.45,95.45,90.95,95.45,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/july_2025_mmseq/TSp_vs_nonProm/3k/tspbrain_nonPromHu/lr3e-5_ep10/results/TSp_vs_nonProm_3k_tspbrain_nonPromHu_lr3e-5/eval_results.json
tspbrain_nonPromHu,4k,lr3e-5_ep10,results,95.49,95.4,95.39,90.88,95.39,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/july_2025_mmseq/TSp_vs_nonProm/4k/tspbrain_nonPromHu/lr3e-5_ep10/results/TSp_vs_nonProm_4k_tspbrain_nonPromHu_lr3e-5/eval_results.json
tspliver_nonPromHu,2k,lr3e-6_ep10,results,85.88,84.44,84.29,70.31,84.44,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/july_2025_mmseq/TSp_vs_nonProm/2k/tspliver_nonPromHu/lr3e-6_ep10/results/TSp_vs_nonProm_2k_tspliver_nonPromHu_lr3e-6/eval_results.json
tspliver_nonPromHu,3k,lr3e-5_ep10,results,87.19,86.52,86.46,73.71,86.52,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/july_2025_mmseq/TSp_vs_nonProm/3k/tspliver_nonPromHu/lr3e-5_ep10/results/TSp_vs_nonProm_3k_tspliver_nonPromHu_lr3e-5/eval_results.json
tspliver_nonPromHu,4k,lr3e-5_ep10,results,81.93,81.93,81.92,63.86,81.92,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/july_2025_mmseq/TSp_vs_nonProm/4k/tspliver_nonPromHu/lr3e-5_ep10/results/TSp_vs_nonProm_4k_tspliver_nonPromHu_lr3e-5/eval_results.json
tsptestis_nonPromHu,2k,lr3e-5_ep10,results,89.48,89.42,89.41,78.9,89.42,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/july_2025_mmseq/TSp_vs_nonProm/2k/tsptestis_nonPromHu/lr3e-5_ep10/results/TSp_vs_nonProm_2k_tsptestis_nonPromHu_lr3e-5/eval_results.json
tsptestis_nonPromHu,3k,lr3e-5_ep10,results,89.89,89.41,89.37,79.29,89.4,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/july_2025_mmseq/TSp_vs_nonProm/3k/tsptestis_nonPromHu/lr3e-5_ep10/results/TSp_vs_nonProm_3k_tsptestis_nonPromHu_lr3e-5/eval_results.json
tsptestis_nonPromHu,4k,lr3e-5_ep10,results,87.21,87.18,87.18,74.39,87.18,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/july_2025_mmseq/TSp_vs_nonProm/4k/tsptestis_nonPromHu/lr3e-5_ep10/results/TSp_vs_nonProm_4k_tsptestis_nonPromHu_lr3e-5/eval_results.json
